HHEX	homeodomain transcription factor(PC00119)
AHR	basic helix-loop-helix transcription factor(PC00055)
FOXP1	
ETS1	winged helix/forkhead transcription factor(PC00246)
EGR2	C2H2 zinc finger transcription factor(PC00248)
FOSL2	basic leucine zipper transcription factor(PC00056)
NFIB	DNA-binding transcription factor(PC00218)
LEF1	DNA-binding transcription factor(PC00218)
SOX6	
NFIA	DNA-binding transcription factor(PC00218)
IKZF1	C2H2 zinc finger transcription factor(PC00248)
ZIC2	C2H2 zinc finger transcription factor(PC00248)
GATA3	DNA-binding transcription factor(PC00218)
FOXA1	winged helix/forkhead transcription factor(PC00246)
TCF7L2	DNA-binding transcription factor(PC00218)
